slot_index|date|start_hour|end_hour|person_count|person_ids
20|2021-11-10|12|24|36|17592186053757,17592186129177,17592186111932,17592186118080,17592186066562,17592186134456,17592186097691,17592186085408,17592186139743,17592186134228,17592186057402,17592186091235,17592186101005,17592186105203,17592186119540,17592186069724,17592186102960,17592186099942,17592186055404,17592186091236,17592186053851,17592186109858,17592186123405,17592186050773,17592186060619,17592186098184,17592186122272,17592186113959,17592186049672,17592186143634,17592186117792,17592186119142,17592186052069,17592186056889,17592186099484,17592186046278
21|2021-11-11|0|12|47|17592186131817,17592186095938,17592186053755,17592186080623,17592186105058,17592186069263,17592186078011,17592186087530,17592186112007,17592186128204,17592186142099,17592186144364,17592186056799,17592186097060,17592186070540,17592186106011,17592186049519,17592186101411,17592186070675,17592186084722,17592186058008,17592186085437,17592186100135,17592186073171,17592186143580,17592186086243,17592186057772,17592186089445,17592186076422,17592186128944,17592186112440,17592186070287,17592186143328,17592186115524,17592186098180,17592186122255,17592186134376,17592186068893,17592186081050,17592186142581,17592186135768,17592186085846,17592186056758,17592186125511,17592186088637,17592186118889,17592186071244
22|2021-11-11|12|24|47|17592186083153,17592186130318,17592186092731,17592186111909,17592186106741,17592186055516,17592186060226,17592186074246,17592186060447,17592186085192,17592186069943,17592186129155,17592186072754,17592186119030,17592186053710,17592186108629,17592186070363,17592186119345,17592186085820,17592186118595,17592186048295,17592186137780,17592186055916,17592186057063,17592186050314,17592186087239,17592186122824,17592186047220,17592186129720,17592186126026,17592186050696,17592186061287,17592186107489,17592186139139,17592186077658,17592186073571,17592186137034,17592186111721,19791209325880,19791209351995,19791209391579,19791209323295,19791209341175,19791209390806,19791209320538,19791209364413,19791209321647
23|2021-11-12|0|12|47|19791209392640,19791209352154,19791209388059,19791209394477,19791209345642,19791209349776,19791209356643,19791209386753,19791209320374,19791209309144,19791209391173,19791209350819,19791209331045,19791209349042,19791209348518,19791209308194,19791209366767,19791209359083,19791209371840,19791209300852,19791209305450,19791209379654,19791209384940,19791209334332,19791209385841,19791209306896,19791209350274,19791209397884,19791209339197,19791209364787,19791209397085,19791209305143,19791209310203,19791209308121,19791209374296,19791209303765,19791209343250,19791209349637,19791209357880,19791209363059,19791209383516,19791209330425,19791209324544,19791209385346,19791209375969,19791209341575,19791209301422
24|2021-11-12|12|24|33|19791209395038,19791209336833,19791209333587,19791209339505,19791209311815,19791209364987,19791209304598,19791209326556,19791209388779,19791209320251,19791209348808,19791209303785,19791209343841,19791209328563,19791209335089,19791209341150,19791209369292,19791209392962,19791209361931,19791209300726,19791209303493,19791209356547,19791209330553,19791209396900,19791209367289,19791209309135,19791209388491,19791209362084,19791209360574,19791209352466,19791209336598,19791209359444,19791209361289
25|2021-11-13|0|12|37|19791209326606,19791209383747,19791209318677,19791209340079,19791209366842,19791209325226,19791209314965,19791209385952,19791209301426,19791209316243,19791209358053,19791209350095,19791209377204,19791209310509,19791209387704,19791209396564,19791209395371,19791209352457,19791209395694,19791209338915,19791209395525,19791209376372,19791209395952,19791209359834,19791209375994,19791209334159,19791209393546,19791209371732,19791209373420,19791209320730,19791209316041,19791209357911,19791209309473,19791209376965,19791209318587,19791209335429,19791209301936
26|2021-11-13|12|24|40|19791209348430,19791209385021,19791209359132,19791209355942,19791209320656,19791209393713,19791209391815,19791209388141,19791209330881,19791209332178,19791209369325,19791209312086,19791209308936,19791209388590,19791209362995,19791209313549,19791209363870,19791209393896,19791209394147,19791209304307,19791209351866,19791209317661,19791209382671,19791209344008,19791209385983,19791209304140,19791209366782,19791209310701,19791209394752,19791209342532,19791209386235,19791209302219,19791209354489,19791209389509,19791209367156,19791209347360,19791209310567,19791209356016,19791209330126,19791209327081
27|2021-11-14|0|12|46|19791209339544,19791209304770,19791209372547,19791209331415,19791209354260,19791209336319,19791209389124,19791209350979,19791209311143,19791209331716,19791209397914,19791209307829,19791209399473,19791209390320,19791209307277,19791209306079,19791209362916,19791209300869,19791209361204,19791209306317,19791209310392,19791209378283,19791209342904,19791209317985,19791209320026,19791209349618,19791209349886,19791209397336,19791209384243,19791209311887,19791209341800,19791209390450,19791209335634,19791209366427,19791209395264,19791209304406,19791209318058,19791209359738,19791209305860,19791209376831,19791209355368,19791209395057,19791209397548,19791209335294,19791209302941,19791209376535
28|2021-11-14|12|24|60|19791209316496,19791209367413,19791209314716,19791209391495,19791209313483,19791209344786,19791209339350,19791209370744,19791209388233,19791209357627,19791209398352,19791209328726,19791209356576,19791209381381,19791209340192,19791209311780,19791209326456,19791209312029,19791209375699,19791209361876,19791209392159,19791209347907,19791209363017,19791209319045,19791209373125,19791209325336,19791209363743,19791209306113,19791209300432,19791209355888,19791209382582,19791209309783,19791209311225,19791209314602,19791209311019,19791209305091,19791209323640,19791209335666,19791209363939,19791209390959,19791209349373,19791209309620,19791209346117,19791209381321,19791209371016,19791209349350,19791209347101,19791209370867,19791209376462,19791209300745,19791209346501,19791209392196,19791209322763,19791209330732,19791209311601,19791209378766,19791209368216,19791209393009,19791209326249,19791209332526
29|2021-11-15|0|12|43|19791209385238,19791209377076,19791209387634,19791209317979,19791209323680,19791209332271,19791209395062,19791209309447,19791209323782,19791209343875,19791209363679,19791209325123,19791209321003,19791209355667,19791209357373,19791209355450,19791209386842,19791209390492,19791209329475,19791209371727,19791209388082,19791209327436,19791209326850,19791209337563,19791209375716,19791209390813,19791209377753,19791209352500,19791209323467,19791209316098,19791209347041,19791209371423,19791209318592,19791209310263,19791209347684,19791209360419,19791209303599,19791209352973,19791209347850,19791209315132,19791209327285,19791209362274,19791209335206
30|2021-11-15|12|24|43|19791209357211,19791209398380,19791209332813,19791209307340,19791209356876,19791209339180,19791209338884,19791209340210,19791209377470,19791209377345,19791209319811,19791209349412,19791209389762,19791209397012,19791209353127,19791209372589,19791209357430,19791209361620,19791209337285,19791209358008,19791209391465,19791209380292,19791209395790,19791209302701,19791209336401,19791209340492,19791209393605,19791209384613,19791209324881,19791209311495,19791209322933,19791209315338,19791209384083,19791209394084,19791209303095,19791209370415,19791209322738,19791209391059,19791209355953,19791209330296,19791209386676,19791209327679,19791209358432
31|2021-11-16|0|12|43|19791209366600,19791209324817,19791209388144,19791209390241,19791209351583,19791209336487,19791209327505,19791209334872,19791209336192,19791209309008,19791209371510,19791209370592,19791209367130,19791209327016,19791209398699,19791209342321,19791209357457,19791209384798,19791209376767,19791209328167,19791209315461,19791209398316,19791209389885,19791209305939,19791209397752,19791209342263,19791209368606,19791209361097,19791209342041,19791209344742,19791209336395,19791209301308,19791209390150,19791209325446,19791209393390,19791209394961,19791209318161,19791209374068,19791209358081,19791209336380,19791209375814,19791209337420,19791209316793
32|2021-11-16|12|24|43|19791209322241,19791209321572,19791209372598,19791209364980,19791209304296,19791209399038,19791209367734,19791209395737,19791209304170,19791209340427,19791209334108,19791209311381,19791209373761,19791209374849,19791209357934,19791209360812,19791209380863,19791209329801,19791209396539,19791209371838,19791209333057,19791209336754,19791209389160,19791209320797,19791209339039,19791209386837,19791209387500,19791209365839,19791209348260,19791209333948,19791209303486,19791209349553,19791209379781,19791209375061,19791209326062,19791209382270,19791209345292,19791209364246,19791209396571,19791209367568,19791209319604,19791209302572,19791209360511
33|2021-11-17|0|12|50|19791209335428,19791209356344,19791209358532,19791209398653,19791209398357,19791209371606,19791209387092,19791209394713,19791209367006,19791209337435,19791209339116,19791209314957,19791209350775,19791209314876,19791209346137,19791209379469,19791209370369,19791209339756,19791209303016,19791209380076,19791209302890,19791209333014,19791209390479,19791209390400,19791209316899,19791209391362,19791209322904,19791209319532,19791209353782,19791209347055,19791209349143,19791209381061,19791209392693,19791209369799,19791209384003,19791209319946,19791209321508,19791209308212,19791209391836,19791209359632,19791209345340,19791209308825,19791209346641,19791209334670,19791209321108,19791209377059,19791209360928,19791209356583,19791209373486,19791209361619
34|2021-11-17|12|24|42|19791209343018,19791209337487,19791209317289,19791209397911,19791209341104,19791209311983,19791209333363,19791209391535,19791209399789,19791209381613,19791209324512,19791209304439,19791209350538,19791209318045,19791209351586,19791209343326,19791209364840,19791209341096,19791209393438,19791209387873,19791209335968,19791209330192,19791209305588,19791209319175,19791209383487,19791209327339,19791209318471,19791209359894,19791209310632,19791209324088,19791209303314,19791209311322,19791209314233,19791209347382,19791209303317,19791209322388,19791209392841,19791209381846,19791209398578,19791209305526,19791209376576,19791209351170
35|2021-11-18|0|12|36|19791209349789,19791209312740,19791209323922,19791209309488,19791209317274,19791209337123,19791209338568,19791209382595,19791209397930,19791209341470,19791209377032,19791209376993,19791209382024,19791209361279,19791209388064,19791209303539,19791209361166,19791209326469,19791209308429,19791209371817,19791209322326,19791209307279,19791209383268,19791209335218,19791209389905,19791209301760,19791209349839,19791209398229,19791209307638,19791209360080,19791209352000,19791209356971,19791209305197,19791209321179,19791209366853,19791209382633
36|2021-11-18|12|24|48|19791209310947,19791209339841,19791209303627,19791209387005,19791209352956,19791209392019,19791209385046,19791209328395,19791209318309,19791209330384,19791209390332,19791209309253,19791209367247,19791209360415,19791209391158,19791209323430,19791209332245,19791209330736,19791209396307,19791209361504,19791209351496,19791209396255,19791209340507,19791209364316,19791209320312,19791209383155,19791209362744,19791209306252,19791209360556,19791209375190,19791209375012,19791209343396,19791209399515,19791209395441,19791209391804,19791209340726,19791209391503,19791209328449,19791209324021,19791209302516,19791209390324,19791209366154,19791209322482,19791209374400,19791209387118,19791209343312,19791209346206,19791209396462
37|2021-11-19|0|12|44|19791209307748,19791209375767,19791209326245,19791209374490,19791209348369,19791209320358,19791209390866,19791209316596,19791209343178,19791209302730,19791209362221,19791209366969,19791209311814,19791209382898,19791209345045,19791209374768,19791209386912,19791209388355,19791209302497,19791209334727,19791209318681,19791209307511,19791209362003,19791209382050,19791209315846,19791209365155,19791209385147,19791209314038,19791209397782,19791209356878,19791209398304,19791209301872,19791209378191,19791209358118,19791209367696,19791209354618,19791209334833,19791209312012,19791209319717,19791209323300,19791209345860,19791209382143,19791209320464,19791209319142
38|2021-11-19|12|24|44|19791209302919,19791209345777,19791209386903,19791209376602,19791209399221,19791209392865,19791209360029,19791209379038,19791209318642,19791209310402,19791209357319,19791209310458,19791209348857,19791209356622,19791209324153,19791209351307,19791209304703,19791209358123,19791209371592,19791209309251,19791209395573,19791209358479,19791209334133,19791209399582,19791209353776,19791209315014,19791209331410,19791209304676,19791209321433,19791209336365,19791209384135,19791209357971,19791209339411,19791209360381,19791209395426,19791209370957,19791209391277,19791209396781,19791209330756,19791209381331,19791209314318,19791209355290,19791209345857,19791209359699
39|2021-11-20|0|12|43|19791209334050,19791209321857,19791209395741,19791209376811,19791209303754,19791209362421,19791209302686,19791209393053,19791209363098,19791209373423,19791209328129,19791209366597,19791209303796,19791209351559,19791209370389,19791209329392,19791209373425,19791209353129,19791209388573,19791209374493,19791209377722,19791209345106,19791209367811,19791209348844,19791209334749,19791209348029,19791209393951,19791209344701,19791209319561,19791209304388,19791209331867,19791209306511,19791209399700,19791209385399,19791209310538,19791209364319,19791209303124,19791209323118,19791209323914,19791209343770,19791209329863,19791209335921,19791209368066
40|2021-11-20|12|24|64|19791209388902,19791209358400,19791209348548,19791209357885,19791209352887,19791209396088,19791209331776,19791209312476,19791209376061,19791209334513,19791209307632,19791209358415,19791209393048,19791209354785,19791209306070,19791209344583,19791209321774,19791209322414,19791209335632,19791209381617,19791209320138,19791209359125,19791209346626,19791209388232,19791209327770,19791209331086,19791209384768,19791209332269,19791209346207,19791209347923,19791209301503,19791209355842,19791209306980,19791209383577,19791209320896,19791209397525,19791209355171,19791209304582,19791209309466,19791209373550,19791209364187,19791209302368,19791209327576,19791209323149,19791209386307,19791209330199,19791209396186,19791209384353,19791209395067,19791209376296,19791209363980,19791209364622,19791209392042,19791209324146,19791209338254,19791209333177,19791209328724,19791209381415,19791209335985,19791209353269,19791209329840,19791209325825,19791209369715,19791209322639
41|2021-11-21|0|12|42|19791209365946,19791209321351,19791209352436,19791209399565,19791209395901,19791209384799,19791209346406,19791209317888,19791209305675,19791209329952,19791209320498,19791209344298,19791209357334,19791209320108,19791209311192,19791209344270,19791209379645,19791209385854,19791209321267,19791209391551,19791209337966,19791209330546,19791209327222,19791209301590,19791209341905,19791209366650,19791209314879,19791209305505,19791209360327,19791209389634,19791209359281,19791209377247,19791209308334,19791209368146,19791209331627,19791209336385,19791209390620,19791209370680,19791209335828,19791209345791,19791209374918,19791209388344
42|2021-11-21|12|24|37|19791209364430,19791209321730,19791209303371,19791209345820,19791209387682,19791209399883,19791209375384,19791209306567,19791209392253,19791209380768,19791209357199,19791209368215,19791209344618,19791209386572,19791209309432,19791209376229,19791209344480,19791209386784,19791209349291,19791209334242,19791209331513,19791209353188,19791209337706,19791209338315,19791209308617,19791209391452,19791209349556,19791209300428,19791209347052,19791209348377,19791209343170,19791209366548,19791209391119,19791209315374,19791209391924,19791209379110,19791209363112
43|2021-11-22|0|12|54|19791209350627,19791209379979,19791209314141,19791209313292,19791209302135,19791209396261,19791209372571,19791209328194,19791209371567,19791209303359,19791209304133,19791209354254,19791209368218,19791209365688,19791209308581,19791209377863,19791209327956,19791209374041,19791209304548,19791209308836,19791209345378,19791209332131,19791209356626,19791209393319,19791209320405,19791209356185,19791209350169,19791209307054,19791209312875,19791209333974,19791209306364,19791209388330,19791209335731,19791209329092,19791209324754,19791209328094,19791209300651,19791209321377,19791209366273,19791209333849,19791209379506,19791209331901,19791209359211,19791209394050,19791209384723,19791209383382,19791209322682,19791209315936,19791209381146,19791209308203,19791209319437,19791209324564,19791209373370,19791209388227
44|2021-11-22|12|24|43|19791209324393,19791209343515,19791209373488,19791209361343,19791209393703,19791209325069,19791209329440,19791209372018,19791209306247,19791209300691,19791209399114,19791209332463,19791209383378,19791209342185,19791209384935,19791209335549,19791209371320,19791209391587,19791209374889,19791209372748,19791209390326,19791209308668,19791209376320,19791209384861,19791209384551,19791209354491,19791209327025,19791209312153,19791209367101,19791209331549,19791209301528,19791209316550,19791209334980,19791209395574,19791209320501,19791209336717,19791209347968,19791209384906,19791209312472,19791209373518,19791209311735,19791209390630,19791209326854
45|2021-11-23|0|12|57|19791209329765,19791209371343,19791209374817,19791209365460,19791209394804,19791209324268,19791209315634,19791209339457,19791209347917,19791209349725,19791209326379,19791209381741,19791209364564,19791209336564,19791209360670,19791209355946,19791209309293,19791209390732,19791209345133,19791209371127,19791209346298,19791209377762,19791209335032,19791209323292,19791209394559,19791209334990,19791209323703,19791209350071,19791209351811,19791209344346,19791209359704,19791209363791,19791209354535,19791209321703,19791209307902,19791209332604,19791209324739,19791209319825,19791209315315,19791209396956,19791209301168,19791209379031,19791209374044,19791209330094,19791209342135,19791209352230,19791209322674,19791209352597,19791209376689,19791209327847,19791209385370,19791209371970,19791209352072,19791209369577,19791209396847,19791209338351,19791209321288
46|2021-11-23|12|24|51|19791209366218,19791209390547,19791209321810,19791209329401,19791209398869,19791209347476,19791209384497,19791209362799,19791209376349,19791209321664,19791209317469,19791209359442,19791209399449,19791209350847,19791209301939,19791209361073,19791209319639,19791209331585,19791209300226,19791209312148,19791209347890,19791209301288,19791209329386,19791209304674,19791209317705,19791209308021,19791209393931,19791209338835,19791209390484,19791209315223,19791209362562,19791209356083,19791209361131,19791209371350,19791209315076,19791209301456,19791209325769,19791209300858,19791209302661,19791209352834,19791209361960,19791209350426,19791209387574,19791209326730,19791209304434,19791209395241,19791209328466,19791209302694,19791209337773,19791209381250,19791209380868
47|2021-11-24|0|12|47|19791209358682,19791209302482,19791209363433,19791209327207,19791209390737,19791209392003,19791209385039,19791209312444,19791209326334,19791209347702,19791209351258,19791209375986,19791209319968,19791209360856,19791209315974,19791209350877,19791209322785,19791209345198,19791209371790,19791209357173,19791209324816,19791209307318,19791209370603,19791209393756,19791209370117,19791209357275,19791209329156,19791209356102,19791209305878,19791209371311,19791209370999,19791209328631,19791209366357,19791209343676,19791209329965,19791209399894,19791209376846,19791209345655,19791209317951,19791209342180,19791209352022,19791209386759,19791209352649,19791209389790,19791209328066,19791209320068,19791209358036
